1,1,120.32,332.76,137.28000000000003,64.13999999999999,1,1,1.0
1,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
1,3,726.4,266.4,88.0,44.10000000000002,1,1,1.0
2,1,98.6,335.76,137.27,64.13999999999999,1,1,1.0
2,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
2,3,714.91,266.9,88.0,44.10000000000002,1,1,1.0
3,1,76.87,338.76,137.28,64.13,1,1,1.0
3,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
3,3,703.43,267.4,88.0,44.10000000000002,1,1,1.0
4,1,55.15,341.75,137.26999999999998,64.13999999999999,1,1,1.0
4,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
4,3,691.94,267.9,88.0,44.10000000000002,1,1,1.0
5,1,36.77,346.25,131.67999999999998,64.13999999999999,1,1,1.0
5,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
5,3,678.2,269.65,88.0,44.10000000000002,1,1,1.0
6,1,18.38,350.74,126.1,64.13999999999999,1,1,1.0
6,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
6,3,664.47,271.39,88.0,44.10000000000002,1,1,1.0
7,1,0.0,355.24,120.51,64.13,1,1,1.0
7,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
7,3,650.74,273.14,88.0,44.10000000000002,1,1,1.0
8,1,0.0,358.23,100.03,64.13999999999999,1,1,1.0
8,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
8,3,636.25,276.14,88.0,44.10000000000002,1,1,1.0
9,1,0.0,361.23,79.55,64.13999999999999,1,1,1.0
9,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
9,3,621.77,279.14,88.0,44.10000000000002,1,1,1.0
10,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
10,3,607.28,282.13,88.0,44.10000000000002,1,1,1.0
11,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
11,3,592.05,284.63,88.0,44.10000000000002,1,1,1.0
12,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
12,3,576.82,287.13,88.0,44.10000000000002,1,1,1.0
13,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
13,3,561.58,289.62,88.0,44.10000000000002,1,1,0.0
14,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
14,3,544.73,291.87,88.0,44.10000000000002,1,1,0.0
15,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
15,3,527.87,294.12,88.0,44.10000000000002,1,1,0.0
16,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
16,3,511.02,296.37,88.0,44.10000000000002,1,1,0.0
17,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
17,3,494.16,298.61,87.99999999999994,44.099999999999966,1,1,0.0
18,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
18,3,474.5,300.86,94.75,46.89999999999998,1,1,0.0
19,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
19,3,454.83,303.11,101.50000000000006,49.69999999999999,1,1,0.0
20,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
20,3,435.17,305.36,108.24999999999994,52.49000000000001,1,1,0.0
21,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
21,3,415.5,307.6,115.0,55.299999999999955,1,1,1.0
22,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
22,3,400.14,311.35,115.0,55.299999999999955,1,1,1.0
23,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
23,3,384.78,315.1,115.0,55.289999999999964,1,1,1.0
24,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
24,3,369.43,318.84,115.0,55.30000000000001,1,1,1.0
25,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
25,3,354.07,322.59,115.0,55.29000000000002,1,1,1.0
26,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
26,3,333.34,326.33,115.0,55.30000000000001,1,1,1.0
27,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
27,3,312.62,330.08,115.0,55.29000000000002,1,1,1.0
28,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
28,3,291.89,333.83,115.0,55.29000000000002,1,1,1.0
29,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
29,3,271.16,337.57,115.0,55.30000000000001,1,1,1.0
30,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
30,3,250.44,341.32,115.0,55.29000000000002,1,1,1.0
31,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
31,3,229.71,345.06,114.99999999999997,55.30000000000001,1,1,1.0
32,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
32,3,202.86,348.56,121.36000000000001,58.04000000000002,1,1,1.0
33,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
33,3,176.02,352.05,127.72,60.789999999999964,1,1,1.0
34,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
34,3,149.17,355.55,134.08,63.52999999999997,1,1,1.0
35,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
35,3,122.33,359.05,140.44,66.26999999999998,1,1,1.0
36,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
36,3,95.49,362.54,146.79000000000002,69.01999999999998,1,1,1.0
37,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
37,3,68.64,366.04,153.16000000000003,71.75999999999999,1,1,1.0
38,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
38,3,57.2,370.53,141.75,71.76000000000005,1,1,1.0
39,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
39,3,45.76,375.03,130.34,71.76000000000005,1,1,1.0
40,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
40,3,34.32,379.52,118.93,71.75999999999999,1,1,1.0
41,2,205.15,246.97,100.35,46.630000000000024,1,1,1.0
